Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
;Female biped model\MOD3;;;;;ARMA;;;;Female world model\MOD3;File;File;;;;;
;Female biped model\MO3T;;;;;ARMA;;;;Female world model\MO3T;;;;1;;;
;Female biped model\MO3S;;;;;ARMA\MSWP_2;;;;Return;;;;;;;
;;;;;;ARMA\Return;;;;Female world model\MO3S;;;;2;;;
;;;;;;ARMA\MSWP_2;;;;Material Substitutions;;;;;;;
;Female biped model\MO3S\Alternate Texture;;;;;ARMA\MSWP_2;;;;Material Substitutions\Substitution;;;;;;;
;Female biped model\MO3S\Alternate Texture\3D Name;;;;;ARMA\MSWP_2;;;;Material Substitutions\Substitution\BNAM;;;;0;;;
;Female biped model\MO3S\Alternate Texture\New Texture;;;;;ARMA\MSWP_2;;;;Material Substitutions\Substitution\SNAM;;;;1;;;
;Female biped model\MO3S\Alternate Texture\3D Index;;;;;ARMA;;;;;;;;;;;
;Female biped model\MOSD;;;;;ARMA;;;;;;;;;;;
;Female biped model\MOSD\Head;;;;;ARMA;;;;;;;;;;;
;Female biped model\MOSD\Torso;;;;;ARMA;;;;;;;;;;;
;Female biped model\MOSD\Right Hand;;;;;ARMA;;;;;;;;;;;
;Female biped model\MOSD\Left Hand;;;;;ARMA;;;;;;;;;;;
;DATA;;;;;;;;;DATA;;;;;;;
;DATA\Value;;;;;;;;;DATA\Value;;;;;;;
;DATA\Max Condition;;;;;;;;;DATA\Health;;;;;;;
;DATA\Weight;;;;;;;;;DATA\Weight;;;;;;;
;DNAM;;;;;;;;;FNAM;;;;;;;
;DNAM\AR;;;;;;;;;FNAM\Armor Rating;;;;;;;
;DNAM\Flags;;;;;;;;;;;;;;;;
Available in CK but setting to true does not stick;DNAM\Flags\Modulates Voice;;;;;;;;;;;;;;;;
;DNAM\DT;;;;;;;;;DAMA;;;;;;;
;;;;;;;;;;DAMA\Resistance;;;;0;;;
;;;;;;;;;;DAMA\Resistance\Value;;;;1;;;
;;;;;;;;;;DAMA\Resistance\Damage Type;;dtPhysical [DMGT:F4060A87];;0;TRUE;;
;DNAM\?;;;;;;;;;;;;;;;;
Overrides animation sound;BNAM;;;;;;;;;;;;;;;;
;Animation Sounds;;;;;;;;;;;;;;;;
;Animation Sounds\SNAM;;;;;;;;;;;;;;;;
;Animation Sounds\SNAM\Sound;;;;;;;;;;;;;;;;
;Animation Sounds\SNAM\Chance;;;;;;;;;;;;;;;;
;Animation Sounds\SNAM\Unused;;;;;;;;;;;;;;;;
;Animation Sounds\SNAM\Type;;;;;;;;;;;;;;;;
Animation sounds template;TNAM;;;;;;;;;;;;;;;;
Ragdoll constraint template;BMCT;;;;;;;;;;;;;;;;
Biped model list;BIPL;;;;;;;;;;;;;;;;
;Male world model;;;;;;;;;Male world model;;;;;;;
;Male world model\MOD2;;;;;;;;;Male world model\MOD2;File;File;;;;;
;Male world model\MO2T;;;;;;;;;Male world model\MO2T;;;;1;;;
;Male world model\MO2S;;;;;MSWP_3;;;;Return;;;;;;;
;;;;;;Return;;;;Male world model\MO2S;;;;2;;;
;;;;;;MSWP_3;;;;Material Substitutions;;;;;;;
;Male world model\MO2S\Alternate Texture;;;;;MSWP_3;;;;Material Substitutions\Substitution;;;;;;;
;Male world model\MO2S\Alternate Texture\3D Name;;;;;MSWP_3;;;;Material Substitutions\Substitution\BNAM;;;;0;;;
;Male world model\MO2S\Alternate Texture\New Texture;;;;;MSWP_3;;;;Material Substitutions\Substitution\SNAM;;;;1;;;
;Male world model\MO2S\Alternate Texture\3D Index;;;;;;;;;;;;;;;;
;Male world model\MODD;;;;;;;;;;;;;;;;
;Male world model\MODD\Head;;;;;;;;;;;;;;;;
;Male world model\MODD\Torso;;;;;;;;;;;;;;;;
;Male world model\MODD\Right Hand;;;;;;;;;;;;;;;;
;Male world model\MODD\Left Hand;;;;;;;;;;;;;;;;
;Female world model;;;;;;;;;Female world model;;;;;;;
;Female world model\MOD4;;;;;;;;;Female world model\MOD4;File;File;;;;;
;Female world model\MO4T;;;;;;;;;Female world model\MO4T;;;;1;;;
;Female world model\MO4S;;;;;MSWP_4;;;;Return;;;;;;;
;;;;;;Return;;;;Female world model\MO4S;;;;2;;;
;;;;;;MSWP_4;;;;Material Substitutions;;;;;;;
;Female world model\MO4S\Alternate Texture;;;;;MSWP_4;;;;Material Substitutions\Substitution;;;;;;;
;Female world model\MO4S\Alternate Texture\3D Name;;;;;MSWP_4;;;;Material Substitutions\Substitution\BNAM;;;;0;;;
;Female world model\MO4S\Alternate Texture\New Texture;;;;;MSWP_4;;;;Material Substitutions\Substitution\SNAM;;;;1;;;
;Female world model\MO4S\Alternate Texture\3D Index;;;;;;;;;;;;;;;;
;Female world model\MOSD;;;;;;;;;;;;;;;;
;Female world model\MOSD\Head;;;;;;;;;;;;;;;;
;Female world model\MOSD\Torso;;;;;;;;;;;;;;;;
;Female world model\MOSD\Right Hand;;;;;;;;;;;;;;;;
;Female world model\MOSD\Left Hand;;;;;;;;;;;;;;;;
;ICO2;;;;;;;;;ICO2;File;File;;;;;
;ICON;;;;;;;;;ICON;File;File;;;;;
;MIC2;;;;;;;;;MIC2;File;File;;;;;
;MICO;;;;;;;;;MICO;File;File;;;;;
;ETYP;;;;;;;;;;;;;;;;
