Notes;Original Path;New Path;New Index(-1 = Unchanged);Replace Any Value?;Flag?;Original Value 1;New Value 1;Original Value 2;New Value 2; Original Value n...; New Value n...
Gone;Patrol Data\Embedded Script\SCHR\Type;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\SCHR\Flags;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\SCHR\Flags\Enabled;;-1;FALSE;;;;;;;
There but different;Patrol Data\TNAM;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\SCDA;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\SCTX;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\Local Variables;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\Local Variables\Local Variable;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\Local Variables\Local Variable\SLSD;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\Local Variables\Local Variable\SCVR;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\Local Variables\Local Variable\Index;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\Local Variables\Local Variable\Unused;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\Local Variables\Local Variable\Flags;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\References;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\References\SCRO;;-1;FALSE;;;;;;;
SpeedTree Seed Gone;XSED;;-1;FALSE;;;;;;;
XHLT but need to divide 1 by value;XHLP;;-1;FALSE;;;;;;;
Gone;XSRF;;-1;FALSE;;;;;;;
Gone;XSRF\Imposter;;-1;FALSE;;;;;;;
Gone;XSRF\Use Full Shader in LOD;;-1;FALSE;;;;;;;
Gone;XSRF\Unknown 0;;-1;FALSE;;;;;;;
Gone;XSRD;;-1;FALSE;;;;;;;
;Map Marker\TNAM\Type;Map Marker\TNAM\Type;-1;FALSE;;Office;Office / Civic Building;;;;
Gone;Reflected/Refracted By;;-1;FALSE;;;;;;;
Gone;Reflected/Refracted By\XPWR;;-1;FALSE;;;;;;;
Gone;Reflected/Refracted By\XPWR\Reference;;-1;FALSE;;;;;;;
Gone;Reflected/Refracted By\XPWR\Type;;-1;FALSE;;;;;;;
Gone;Reflected/Refracted By\XPWR\Type\Reflection;;-1;FALSE;;;;;;;
Gone;Reflected/Refracted By\XPWR\Type\Refraction;;-1;FALSE;;;;;;;
Unsure;XATO;XATP;-1;FALSE;;;;;;;
Different;XRDO;;-1;FALSE;;;;;;;
Different;XRDO\Range Radius;;-1;FALSE;;;;;;;
Different;XRDO\Broadcast Range Type;;-1;FALSE;;;;;;;
Different;XRDO\Static Percentage;;-1;FALSE;;;;;;;
Different;XRDO\Position Reference;;-1;FALSE;;;;;;;
