Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
;Model\MODS;;;;;MSWP;;;;Return;;;;;;;
;;;;;;Return;;;;Model\MODS;;;;2;;;
;;;;;;MSWP;;;;Material Substitutions;;;;;;;
;Model\MODS\Alternate Texture;;;;;MSWP;;;;Material Substitutions\Substitution;;;;;;;
;Model\MODS\Alternate Texture\3D Name;;;;;MSWP;;;;Material Substitutions\Substitution\BNAM;;;;0;;;
;Model\MODS\Alternate Texture\New Texture;;;;;MSWP;;;;Material Substitutions\Substitution\SNAM;;;;1;;;
;Model\MODS\Alternate Texture\3D Index;;;;;;;;;;;;;;;;
;Model\MODD;;;;;;;;;;;;;;;;
;Model\MODD\Head;;;;;;;;;;;;;;;;
;Model\MODD\Torso;;;;;;;;;;;;;;;;
;Model\MODD\Right Hand;;;;;;;;;;;;;;;;
;Model\MODD\Left Hand;;;;;;;;;;;;;;;;
