Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
32;DNAM\Noise Properties - Normals - Depth Falloff End;;;;;;;;;DNAM\Physical Properties\Deep Normal Falloff;;;;2;;;
33;DNAM\Fog Properties - Above Water - Fog Amount;;;;;;;;;;;;;;;;
34;DNAM\Noise Properties - Normals - UV Scale;;;;;;;;;;;;;;;;
35;DNAM\Fog Properties - Under Water - Fog Amount;;;;;;;;;DNAM\Fog Properties\Underwater Fog Amount;;;;10;;;
36;DNAM\Fog Properties - Under Water - Fog Distance - Near Plane;;;;;;;;;DNAM\Fog Properties\Underwater Near Fog;;;;11;;;
37;DNAM\Fog Properties - Under Water - Fog Distance - Far Plane;;;;;;;;;DNAM\Fog Properties\Underwater Far Fog;;;;12;;;
38;DNAM\Water Properties - Distortion Amount;;;;;;;;;;;;;;;;
39;DNAM\Water Properties - Shininess;;;;;;;;;;;;;;;;
40;DNAM\Water Properties - Reflection HDR Multiplier;;;;;;;;;;;;;;;;
41;DNAM\Water Properties - Light Radius;;;;;;;;;DNAM\Specular Properties\Interior Specular Radius;;;;4;;;
42;DNAM\Water Properties - Light Brightness;;;;;;;;;DNAM\Specular Properties\Interior Specular Brightness;;;;5;;;
43;DNAM\Noise Properties - Noise Layer One - UV Scale;;;;;;;;;DNAM\Noise Properties\Layer 1 - UV Scale;;;;9;;;
44;DNAM\Noise Properties - Noise Layer Two - UV Scale;;;;;;;;;DNAM\Noise Properties\Layer 2 - UV Scale;;;;10;;;
45;DNAM\Noise Properties - Noise Layer Three - UV Scale;;;;;;;;;DNAM\Noise Properties\Layer 3 - UV Scale;;;;11;;;
46;DNAM\Noise Properties - Noise Layer One - Amplitude Scale;;;;;;;;;DNAM\Noise Properties\Layer 1 - Amplitude Scale;;;;6;;;
47;DNAM\Noise Properties - Noise Layer Two - Amplitude Scale;;;;;;;;;DNAM\Noise Properties\Layer 2 - Amplitude Scale;;;;7;;;
48;DNAM\Noise Properties - Noise Layer Three - Amplitude Scale;;;;;;;;;DNAM\Noise Properties\Layer 3 - Amplitude Scale;;;;8;;;
11;GNAM;;;;;;;;;;;;;;;;
0;GNAM\Daytime;;;;;;;;;;;;;;;;
1;GNAM\Nighttime;;;;;;;;;;;;;;;;
2;GNAM\Underwater;;;;;;;;;;;;;;;;
