Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
;;;;;;;;;;;Invisibility;Invisibility;;;;;
;;;;;;;;;;;Light;Light;;;;;
;;;;;;;;;;;Limb Condition;;;;;;
;;;;;;;;;;;Lock;Lock;;;;;
;;;;;;;;;;;Open;Open;;;;;
;;;;;;;;;;;Paralysis;Paralysis;;;;;
;;;;;;;;;;;Script;Script;;;;;
;;;;;;;;;;;Summon Creature;Summon Creature;;;;;
;;;;;;;;;;;Turbo;;;;;;
;;;;;;;;;;;Value And Parts;;;;;;
;;;;;;;;;;;Value Modifier;Value Modifier;;;;;
;DATA\Actor Value;;;;;;;;;Magic Effect Data\DATA\Actor Value;Action Points;ActionPoints [AVIF:000002D5];;;;;
;;;;;;;;;;;Aggresion;Aggression [AVIF:F40002BC];;;;;
;;;;;;;;;;;Agility;"Agility ""Agility"" [AVIF:000002C7]";;;;;
;;;;;;;;;;;Assistance;Assistance [AVIF:F40002C1];;;;;
;;;;;;;;;;;Barter;NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Big Guns (obsolete);NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Bloody Mess;BloodyMess [AVIF:F40002ED];;;;;
;;;;;;;;;;;Brain Condition;"BrainCondition ""Head Condition"" [AVIF:F4000372]";;;;;
;;;;;;;;;;;Carry Weight;CarryWeight [AVIF:000002DC];;;;;
;;;;;;;;;;;Chameleon;NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Charisma;"Charisma ""Charisma"" [AVIF:000002C5]";;;;;
;;;;;;;;;;;Confidence;Confidence [AVIF:F40002BD];;;;;
;;;;;;;;;;;Critical Chance;CritChance [AVIF:F40002DD];;;;;
;;;;;;;;;;;Damage Resistance;"DamageResist ""Damage Resistance"" [AVIF:F40002E3]";;;;;
;;;;;;;;;;;Damage Threshold;NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Dehydration;HC_ThirstEffect [AVIF:F4000868];;;;;
;;;;;;;;;;;Electric Resistance;"ElectricResist ""Electrical Resistance"" [AVIF:F40002E6]";;;;;
;;;;;;;;;;;EMP Resistance;NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Endurance;"Endurance ""Endurance"" [AVIF:F40002C4]";;;;;
;;;;;;;;;;;Endurance Condition;"EnduranceCondition ""Torso"" [AVIF:F400036D]";;;;;
;;;;;;;;;;;Energy;Energy [AVIF:F40002BE];;;;;
;;;;;;;;;;;Energy Resistance;"EnergyResist ""Energy Resistance"" [AVIF:F40002EB]";;;;;
;;;;;;;;;;;Energy Weapons;NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Explosives;NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Fatigue;Fatigue [AVIF:F400034F];;;;;
;;;;;;;;;;;Fire Resistance;"FireResist ""Fire Resistance"" [AVIF:F40002E5]";;;;;
;;;;;;;;;;;Frost Resistance;"FrostResist ""Cold Resistance"" [AVIF:F40002E7]";;;;;
;;;;;;;;;;;Guns;NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Heal Rate;"HealRate ""Heal Rate"" [AVIF:F40002D7]";;;;;
;;;;;;;;;;;Health;"Health ""Health"" [AVIF:F40002D4]";;;;;
;;;;;;;;;;;Hunger;HC_HungerEffect [AVIF:F4000855];;;;;
;;;;;;;;;;;Ignore Crippled Limbs;"IgnoreCrippledLimbs ""Health"" [AVIF:F40002F8]";;;;;
;;;;;;;;;;;Intelligence;"Intelligence ""Intelligence"" [AVIF:F40002C6]";;;;;
;;;;;;;;;;;Inventory Weight;NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Invisibility;Invisibility [AVIF:F40002F3];;;;;
;;;;;;;;;;;Karma;KARMA [AVIF:F400032C];;;;;
;;;;;;;;;;;Left Attack Condition;"LeftAttackCondition ""Left Arm"" [AVIF:F400036E]";;;;;
;;;;;;;;;;;Left Mobility Condition;"LeftMobilityCondition ""Left Leg"" [AVIF:F4000370]";;;;;
;;;;;;;;;;;Lockpick;Lockpicking [AVIF:F400037E];;;;;
;;;;;;;;;;;Luck;"Luck ""Luck"" [AVIF:F40002C8]";;;;;
;;;;;;;;;;;Medicine;NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Melee Damage;MeleeDamage [AVIF:F40002DE];;;;;
;;;;;;;;;;;Melee Weapons;NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Mood;NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Night Eye;NightEye [AVIF:F40002F4];;;;;
;;;;;;;;;;;None;NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Paralysis;Paralysis [AVIF:F40002F2];;;;;
;;;;;;;;;;;Perception;"Perception ""Perception"" [AVIF:F40002C3]";;;;;
;;;;;;;;;;;Perception Condition;"PerceptionCondition ""Head"" [AVIF:F400036C]";;;;;
;;;;;;;;;;;Poison Resistance;"PoisonResist ""Poison Resistance"" [AVIF:F40002E4]";;;;;
;;;;;;;;;;;Rad Level;"Rads ""Rads"" [AVIF:F40002E1]";;;;;
;;;;;;;;;;;Rad Resistance;"RadResistExposure ""Radiation Resistance"" [AVIF:F40002EA]";;;;;
;;;;;;;;;;;Repair;Smithing [AVIF:F400037A];;;;;
;;;;;;;;;;;Responsibility;NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Right Attack Condition;"RightAttackCondition ""Right Arm"" [AVIF:F400036F]";;;;;
;;;;;;;;;;;Right Mobility Condition;"RightMobilityCondition ""Right Leg"" [AVIF:F4000371]";;;;;
;;;;;;;;;;;Science;NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Sleep Deprivation;HC_SleepEffect [AVIF:F4000828];;;;;
;;;;;;;;;;;Sneak;Sneak [AVIF:F400037F];;;;;
;;;;;;;;;;;Speech;Speechcraft [AVIF:F4000381];;;;;
;;;;;;;;;;;Speed Multiplier;SpeedMult [AVIF:F40002DA];;;;;
;;;;;;;;;;;Strength;"Strength ""Strength"" [AVIF:F40002C2]";;;;;
;;;;;;;;;;;Survival;CraftingAbilitySurvival [AVIF:F4000367];;;;;
;;;;;;;;;;;Turbo;NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Unarmed;NULL - Null Reference [00000000];;;;;
;;;;;;;;;;;Unarmed Damage;UnarmedDamage [AVIF:F40002DF];;;;;
;;;;;;;;;;;Variable01;Variable01 [AVIF:F4000301];;;;;
;;;;;;;;;;;Variable02;Variable02 [AVIF:F4000302];;;;;
;;;;;;;;;;;Variable03;Variable03 [AVIF:F4000303];;;;;
;;;;;;;;;;;Variable04;Variable04 [AVIF:F4000304];;;;;
;;;;;;;;;;;Variable05;Variable05 [AVIF:F4000305];;;;;
;;;;;;;;;;;Variable06;Variable06 [AVIF:F4000306];;;;;
;;;;;;;;;;;Variable07;Variable07 [AVIF:F4000307];;;;;
;;;;;;;;;;;Variable08;Variable08 [AVIF:F4000308];;;;;
;;;;;;;;;;;Variable09;Variable09 [AVIF:F4000309];;;;;
;;;;;;;;;;;Variable10;Variable10 [AVIF:F400030A];;;;;
;;;;;;;;;;;Water Breathing;"WaterBreathing ""Water Breathing"" [AVIF:F40002F6]";;;;;
;;;;;;;;;;;XP;Experience [AVIF:F40002C9];;;;;
;;;;;;;;;;;None;NULL - Null Reference [00000000];;;;;
;Counter Effects;;;;;;;;;Counter Effects;;;;;;;
;Counter Effects\ESCE;;;;;;;;;Counter Effects\ESCE;;;;;;;
;Model;;;;;;;;;;;;;;;;
;Model\MODL;;;;;;;;;;File;File;;;;;
;Model\MODT;;;;;;;;;;;;;;;;
;Model\MODS;;;;;;;;;;;;;;;;
;Model\MODS\Alternate Texture;;;;;;;;;;;;;;;;
;Model\MODS\Alternate Texture\3D Name;;;;;;;;;;;;;;;;
;Model\MODS\Alternate Texture\New Texture;;;;;;;;;;;;;;;;
;Model\MODS\Alternate Texture\3D Index;;;;;;;;;;;;;;;;
;Model\MODD;;;;;;;;;;;;;;;;
;Model\MODD\Head;;;;;;;;;;;;;;;;
;Model\MODD\Torso;;;;;;;;;;;;;;;;
;Model\MODD\Right Hand;;;;;;;;;;;;;;;;
;Model\MODD\Left Hand;;;;;;;;;;;;;;;;
;Model\MODB;;;;;;;;;;;;;;;;
