Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?;;
;Head Data\Male Head Data\Parts\Part\Model;;;;;;;;;;;;;;;;;31;DATA\Flags\Can Dual Wield
;Head Data\Male Head Data\Parts\Part\Model\MODL;;;;;;;;;;File;File;;;;;;32;DATA\Flags\Avoids Roads
;Head Data\Male Head Data\Parts\Part\Model\MODB;;;;;;;;;;;;;;;;;;
;Head Data\Male Head Data\Parts\Part\Model\MODT;;;;;;;;;;;;;;;;;;
;Head Data\Male Head Data\Parts\Part\Model\MODS;;;;;;;;;;;;;;;;;;
;Head Data\Male Head Data\Parts\Part\Model\MODS\Alternate Texture;;;;;;;;;;;;;;;;;;
;Head Data\Male Head Data\Parts\Part\Model\MODS\Alternate Texture\3D Name;;;;;;;;;;;;;;;;;;
;Head Data\Male Head Data\Parts\Part\Model\MODS\Alternate Texture\New Texture;;;;;;;;;;;;;;;;;;
;Head Data\Male Head Data\Parts\Part\Model\MODS\Alternate Texture\3D Index;;;;;;;;;;;;;;;;;;
;Head Data\Male Head Data\Parts\Part\Model\MODD;;;;;;;;;;;;;;;;;;
;Head Data\Male Head Data\Parts\Part\Model\MODD\Head;;;;;;;;;;;;;;;;;;
;Head Data\Male Head Data\Parts\Part\Model\MODD\Torso;;;;;;;;;;;;;;;;;;
;Head Data\Male Head Data\Parts\Part\Model\MODD\Right Hand;;;;;;;;;;;;;;;;;;
;Head Data\Male Head Data\Parts\Part\Model\MODD\Left Hand;;;;;;;;;;;;;;;;;;
;Head Data\Male Head Data\Parts\Part\Icon;;;;;;;;;;;;;;;;;;
;Head Data\Male Head Data\Parts\Part\Icon\ICON;;;;;;;;;;File;File;;;;;;;
;Head Data\Male Head Data\Parts\Part\Icon\MICO;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data\FNAM;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data\Parts;;;;;;;;;Female Head Parts;;;;;;;;;
;Head Data\Female Head Data\Parts\Part;;;;;;;;;Female Head Parts\Head Part;;;;;;;;;
;Head Data\Female Head Data\Parts\Part\INDX;;;;;;;;;Female Head Parts\Head Part\INDX;Ears;;;;;;;;
;;;;;;;;;;;Head;;;;;;;;
;;;;;;;;;;;Left Eye;;;;;;;;
;;;;;;;;;;;Mouth;;;;;;;;
;;;;;;;;;;;Right Eye;;;;;;;;
;;;;;;;;;;;Teeth Lower;;;;;;;;
;;;;;;;;;;;Teeth Upper;;;;;;;;
;;;;;;;;;;;Tongue;;;;;;;;
;Head Data\Female Head Data\Parts\Part\Model;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data\Parts\Part\Model\MODL;;;;;;;;;;File;File;;;;;;;
;Head Data\Female Head Data\Parts\Part\Model\MODB;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data\Parts\Part\Model\MODT;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data\Parts\Part\Model\MODS;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data\Parts\Part\Model\MODS\Alternate Texture;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data\Parts\Part\Model\MODS\Alternate Texture\3D Name;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data\Parts\Part\Model\MODS\Alternate Texture\New Texture;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data\Parts\Part\Model\MODS\Alternate Texture\3D Index;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data\Parts\Part\Model\MODD;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data\Parts\Part\Model\MODD\Head;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data\Parts\Part\Model\MODD\Torso;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data\Parts\Part\Model\MODD\Right Hand;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data\Parts\Part\Model\MODD\Left Hand;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data\Parts\Part\Icon;;;;;;;;;;;;;;;;;;
;Head Data\Female Head Data\Parts\Part\Icon\ICON;;;;;;;;;;File;File;;;;;;;
;Head Data\Female Head Data\Parts\Part\Icon\MICO;;;;;;;;;;;;;;;;;;
;Body Data;;;;;;;;;;;;;;;;;;
;Body Data\NAM1;;;;;;;;;;;;;;;;;;
;Body Data\Male Body Data\Parts\Part\INDX;;;;;;;;;Body Data\Male Body Data\Parts\Part\INDX;Left Hand;;;;;;;;
;;;;;;;;;;;Right Hand;;;;;;;;
;;;;;;;;;;;Upper Body;;;;;;;;
;;;;;;;;;;;Upper Body Texture;Body Texture;;;;;;;
;Body Data\Male Body Data\Parts\Part\Icon;;;;;;;;;;;;;;;;;;
;Body Data\Male Body Data\Parts\Part\Icon\ICON;;;;;;;;;;File;File;;;;;;;
;Body Data\Male Body Data\Parts\Part\Icon\MICO;;;;;;;;;;;;;;;;;;
;Body Data\Male Body Data\Parts\Part\Model;;;;;;;;;Body Data\Male Body Data\Parts\Part\Model;;;;1;;;;;
;Body Data\Male Body Data\Parts\Part\Model\MODL;;;;;;;;;Body Data\Male Body Data\Parts\Part\Model\MODL;File;File;;;;;;;
;Body Data\Male Body Data\Parts\Part\Model\MODB;;;;;;;;;;;;;;;;;;
;Body Data\Male Body Data\Parts\Part\Model\MODS;;;;;;;;;;;;;;;;;;
;Body Data\Male Body Data\Parts\Part\Model\MODS\Alternate Texture;;;;;;;;;;;;;;;;;;
;Body Data\Male Body Data\Parts\Part\Model\MODS\Alternate Texture\3D Name;;;;;;;;;;;;;;;;;;
;Body Data\Male Body Data\Parts\Part\Model\MODS\Alternate Texture\New Texture;;;;;;;;;;;;;;;;;;
;Body Data\Male Body Data\Parts\Part\Model\MODS\Alternate Texture\3D Index;;;;;;;;;;;;;;;;;;
;Body Data\Male Body Data\Parts\Part\Model\MODD;;;;;;;;;;;;;;;;;;
;Body Data\Male Body Data\Parts\Part\Model\MODD\Head;;;;;;;;;;;;;;;;;;
;Body Data\Male Body Data\Parts\Part\Model\MODD\Torso;;;;;;;;;;;;;;;;;;
;Body Data\Male Body Data\Parts\Part\Model\MODD\Right Hand;;;;;;;;;;;;;;;;;;
;Body Data\Male Body Data\Parts\Part\Model\MODD\Left Hand;;;;;;;;;;;;;;;;;;
;Body Data\Female Body Data\Parts\Part\INDX;;;;;;;;;Body Data\Female Body Data\Parts\Part\INDX;Left Hand;;;;;;;;
;;;;;;;;;;;Right Hand;;;;;;;;
;;;;;;;;;;;Upper Body;;;;;;;;
;;;;;;;;;;;Upper Body Texture;Body Texture;;;;;;;
;Body Data\Female Body Data\Parts\Part\Icon;;;;;;;;;;;;;;;;;;
;Body Data\Female Body Data\Parts\Part\Icon\ICON;;;;;;;;;;;;;;;;;;
;Body Data\Female Body Data\Parts\Part\Icon\MICO;;;;;;;;;;;;;;;;;;
;Body Data\Female Body Data\Parts\Part\Model;;;;;;;;;Body Data\Female Body Data\Parts\Part\Model;;;;1;;;;;
;Body Data\Female Body Data\Parts\Part\Model\MODL;;;;;;;;;Body Data\Female Body Data\Parts\Part\Model\MODL;File;File;;;;;;;
;Body Data\Female Body Data\Parts\Part\Model\MODB;;;;;;;;;;;;;;;;;;
;Body Data\Female Body Data\Parts\Part\Model\MODS;;;;;;;;;;;;;;;;;;
;Body Data\Female Body Data\Parts\Part\Model\MODS\Alternate Texture;;;;;;;;;;;;;;;;;;
;Body Data\Female Body Data\Parts\Part\Model\MODS\Alternate Texture\3D Name;;;;;;;;;;;;;;;;;;
;Body Data\Female Body Data\Parts\Part\Model\MODS\Alternate Texture\New Texture;;;;;;;;;;;;;;;;;;
;Body Data\Female Body Data\Parts\Part\Model\MODS\Alternate Texture\3D Index;;;;;;;;;;;;;;;;;;
;Body Data\Female Body Data\Parts\Part\Model\MODD;;;;;;;;;;;;;;;;;;
;Body Data\Female Body Data\Parts\Part\Model\MODD\Head;;;;;;;;;;;;;;;;;;
;Body Data\Female Body Data\Parts\Part\Model\MODD\Torso;;;;;;;;;;;;;;;;;;
;Body Data\Female Body Data\Parts\Part\Model\MODD\Right Hand;;;;;;;;;;;;;;;;;;
;Body Data\Female Body Data\Parts\Part\Model\MODD\Left Hand;;;;;;;;;;;;;;;;;;
;HNAM;;;;;;;;;;;;;;;;;;
In Head Parts HEAD;HNAM\Hair;;;;;;;;;;;;;;;;;;
;ENAM;;;;;;;;;;;;;;;;;;
In Head Parts HEAD;ENAM\Eye;;;;;;;;;;;;;;;;;;
;FaceGen Data;;;;;;;;;;;;;;;;;;
;FaceGen Data\Male FaceGen Data;;;;;;;;;;;;;;;;;;
;FaceGen Data\Male FaceGen Data\MNAM;;;;;;;;;;;;;;;;;;
;FaceGen Data\Male FaceGen Data\FaceGen Data;;;;;;;;;;;;;;;;;;
;FaceGen Data\Male FaceGen Data\FaceGen Data\FGGS;;;;;;;;;;;;;;;;;;
;FaceGen Data\Male FaceGen Data\FaceGen Data\FGGA;;;;;;;;;;;;;;;;;;
;FaceGen Data\Male FaceGen Data\FaceGen Data\FGTS;;;;;;;;;;;;;;;;;;
;FaceGen Data\Male FaceGen Data\SNAM;;;;;;;;;;;;;;;;;;
;FaceGen Data\Female FaceGen Data;;;;;;;;;;;;;;;;;;
;FaceGen Data\Female FaceGen Data\FNAM;;;;;;;;;;;;;;;;;;
;FaceGen Data\Female FaceGen Data\FaceGen Data;;;;;;;;;;;;;;;;;;
;FaceGen Data\Female FaceGen Data\FaceGen Data\FGGS;;;;;;;;;;;;;;;;;;
;FaceGen Data\Female FaceGen Data\FaceGen Data\FGGA;;;;;;;;;;;;;;;;;;
;FaceGen Data\Female FaceGen Data\FaceGen Data\FGTS;;;;;;;;;;;;;;;;;;
;FaceGen Data\Female FaceGen Data\SNAM;;;;;;;;;;;;;;;;;;
